# long1  , lat1   , long2    , lat2   , distance
-104.9847, 39.7392, -104.8319, 39.7294,    15.11
-104.9847, 39.7392, -105.0649, 39.813 ,    15.50
-104.9847, 39.7392, -104.9339, 39.8083,    11.14
-104.8214, 38.8339, -104.6091, 38.2544,    70.30
-104.8214, 38.8339, -104.8561, 39.3722,    66.53
-104.8214, 38.8339, -104.7008, 38.6822,    23.10
-104.8319, 39.7294, -104.8772, 39.5807,    21.95
-104.8319, 39.7294, -104.9339, 39.8083,    17.47
-104.8319, 39.7294, -104.9114, 39.6159,    18.22
-105.0844, 40.5853, -105.0526, 40.3989,    32.90
-105.0844, 40.5853, -104.9014, 40.4775,    26.57
-105.0844, 40.5853, -104.9122, 40.3369,    40.88
-104.9719, 39.868 , -105.0372, 39.8367,     9.21
-104.9719, 39.868 , -104.9872, 39.8855,     3.70
-104.9719, 39.868 , -105.0142, 39.8661,     4.66
-105.0649, 39.813 , -105.0372, 39.8367,     4.99
-105.0649, 39.813 , -105.0866, 39.9205,    14.58
-105.0649, 39.813 , -105.0142, 39.8661,    10.58
-105.0372, 39.8367, -104.9339, 39.8083,    13.10
-105.0372, 39.8367, -104.9872, 39.8855,    13.74
-105.0372, 39.8367, -105.0142, 39.8661,     5.60
-104.7091, 40.4233, -104.9014, 40.4775,    22.49
-104.7091, 40.4233, -104.7105, 40.3793,     6.02
-104.7091, 40.4233, -104.9122, 40.3369,    29.14
-104.6091, 38.2544, -104.8561, 39.3722,   138.14
-104.6091, 38.2544, -104.7008, 38.6822,    51.79
-104.6091, 38.2544, -105.2283, 38.4467,    64.56
-104.8772, 39.5807, -104.7658, 39.5194,    15.20
-104.8772, 39.5807, -104.9114, 39.6159,     7.62
-104.8772, 39.5807, -104.8864, 39.5372,     7.26
-105.2705, 40.015 , -105.1   , 40.0003,    20.72
-105.2705, 40.015 , -105.1319, 39.9778,    17.05
-105.2705, 40.015 , -105.1686, 39.9528,    12.71
-105.1092, 40.1717, -105.1   , 40.0003,    20.01
-105.1092, 40.1717, -104.9361, 40.1314,    20.77
-105.1092, 40.1717, -105.0811, 40.3083,    18.49
-105.0526, 40.3989, -104.9014, 40.4775,    22.69
-105.0526, 40.3989, -104.9122, 40.3369,    18.30
-105.0526, 40.3989, -105.0811, 40.3083,    12.50
-105.0866, 39.9205, -105.1   , 40.0003,     9.91
-105.0866, 39.9205, -105.1319, 39.9778,    10.47
-105.0866, 39.9205, -105.1686, 39.9528,     9.95
-104.8561, 39.3722, -104.9114, 39.6159,    31.46
-104.8561, 39.3722, -104.8864, 39.5372,    21.74
-104.8561, 39.3722, -104.8961, 39.458 ,    11.99
-108.5507, 39.0639, -107.8762, 38.4783,    98.33
-108.5507, 39.0639, -107.88  , 37.2753,   270.18
-108.5507, 39.0639, -108.729 , 39.1589,    22.41
-104.9339, 39.8083, -105.0166, 39.6133,    27.03
-104.9339, 39.8083, -104.9872, 39.8855,    12.56
-104.9339, 39.8083, -105.0142, 39.8661,    13.50
-104.7658, 39.5194, -104.9114, 39.6159,    23.35
-104.7658, 39.5194, -104.8864, 39.5372,    17.75
-104.7658, 39.5194, -104.8961, 39.458 ,    20.63
-105.0166, 39.6133, -104.9872, 39.8855,    32.95
-105.0166, 39.6133, -104.9114, 39.6159,    11.25
-105.0166, 39.6133, -104.8864, 39.5372,    22.62
-104.9014, 40.4775, -104.7105, 40.3793,    25.83
-104.9014, 40.4775, -104.9122, 40.3369,    18.63
-104.9014, 40.4775, -105.0811, 40.3083,    36.50
-104.8205, 39.9853, -104.9872, 39.8855,    27.80
-104.8205, 39.9853, -104.9361, 40.1314,    27.19
-104.8205, 39.9853, -104.961 , 40.1112,    25.96
-104.9872, 39.8855, -105.1   , 40.0003,    25.79
-104.9872, 39.8855, -105.0142, 39.8661,     4.76
-104.9872, 39.8855, -105.1686, 39.9528,    19.67
-105.1   , 40.0003, -105.1319, 39.9778,     5.93
-105.1   , 40.0003, -104.961 , 40.1112,    25.15
-105.1   , 40.0003, -105.1686, 39.9528,    11.03
-104.7008, 38.6822, -105.2283, 38.4467,    81.73
-104.7008, 38.6822, -104.8864, 39.5372,   109.03
-104.7008, 38.6822, -104.8961, 39.458 ,    99.28
-104.7105, 40.3793, -104.9122, 40.3369,    22.44
-104.7105, 40.3793, -104.9361, 40.1314,    42.74
-104.7105, 40.3793, -105.0811, 40.3083,    47.08
-105.1319, 39.9778, -104.961 , 40.1112,    32.85
-105.1319, 39.9778, -105.0142, 39.8661,    20.35
-105.1319, 39.9778, -105.1686, 39.9528,     5.36
-107.8762, 38.4783, -107.88  , 37.2753,   172.20
-107.8762, 38.4783, -105.2283, 38.4467,   299.43
-107.8762, 38.4783, -108.729 , 39.1589,   117.85
-105.2305, 39.7542, -104.9114, 39.6159,    39.31
-105.2305, 39.7542, -105.0142, 39.8661,    32.18
-105.2305, 39.7542, -105.1686, 39.9528,    30.57
-107.88  , 37.2753, -105.2283, 38.4467,   412.96
-107.88  , 37.2753, -105.0142, 39.8661,   554.38
-107.88  , 37.2753, -108.729 , 39.1589,   289.79
-104.9122, 40.3369, -104.9361, 40.1314,    25.93
-104.9122, 40.3369, -104.961 , 40.1112,    33.01
-104.9122, 40.3369, -105.0811, 40.3083,    18.09
-105.2283, 38.4467, -104.9114, 39.6159,   167.45
-105.2283, 38.4467, -104.8864, 39.5372,   157.74
-105.2283, 38.4467, -104.8961, 39.458 ,   147.98
-104.9361, 40.1314, -104.961 , 40.1112,     4.35
-104.9361, 40.1314, -105.0142, 39.8661,    36.60
-104.9361, 40.1314, -105.0811, 40.3083,    32.56
-104.9114, 39.6159, -105.0142, 39.8661,    37.92
-104.9114, 39.6159, -104.8864, 39.5372,    14.40
-104.9114, 39.6159, -104.8961, 39.458 ,    24.39
-104.961 , 40.1112, -105.0142, 39.8661,    32.28
-104.961 , 40.1112, -105.1686, 39.9528,    35.95
-104.961 , 40.1112, -105.0811, 40.3083,    32.69
-105.0142, 39.8661, -104.8864, 39.5372,    48.06
-105.0142, 39.8661, -105.1686, 39.9528,    20.02
-105.0142, 39.8661, -104.8961, 39.458 ,    58.06
-104.8864, 39.5372, -105.1686, 39.9528,    64.88
-104.8864, 39.5372, -104.8961, 39.458 ,    14.41
-104.8864, 39.5372, -105.0811, 40.3083,   124.63
-103.2077, 40.6255, -105.1686, 39.9528,   217.45
-103.2077, 40.6255, -104.8961, 39.458 ,   246.61
-103.2077, 40.6255, -105.0811, 40.3083,   202.19
-108.729 , 39.1589, -105.1686, 39.9528,   434.45
-108.729 , 39.1589, -106.8317, 40.485 ,   328.63
-108.729 , 39.1589, -104.8961, 39.458 ,   445.02
-105.1686, 39.9528, -106.8317, 40.485 ,   273.81
-105.1686, 39.9528, -104.8961, 39.458 ,    73.98
-105.1686, 39.9528, -105.0811, 40.3083,    64.83
-106.8317, 40.485 , -104.8961, 39.458 ,   286.60
-106.8317, 40.485 , -105.0811, 40.3083,   318.37
-104.8961, 39.458 , -105.0811, 40.3083,   134.15
